Time,Speed,SOC,BatteryTemp,Throttle,Brake
12.1171,50.1993,99.6178,25,1,0
12.1484,50.3852,99.6149,25,1,0
12.1805,50.5734,99.612,25,1,0
12.2121,50.7658,99.609,25,1,0
12.2434,50.9552,99.606,25,1,0
12.274,51.1434,99.603,25,1,0
12.3055,51.3266,99.6001,25,1,0
12.3375,51.5156,99.5971,25,1,0
12.3689,51.7075,99.5941,25,1,0
12.4004,51.8964,99.591,25,1,0
12.4324,52.0855,99.588,25,1,0
12.4633,52.277,99.5849,25,1,0
12.4944,52.4624,99.5819,25,1,0
12.5254,52.6493,99.5789,25,1,0
12.5576,52.8349,99.5758,25,1,0
12.5889,53.0286,99.5727,25,1,0
12.6206,53.2162,99.5696,25,1,0
12.6517,53.4064,99.5665,25,1,0
12.6833,53.5933,99.5634,25,1,0
12.7153,53.7825,99.5602,25,1,0
12.746,53.9743,99.557,25,1,0
12.7776,54.1588,99.5539,25,1,0
12.8097,54.3485,99.5508,25,1,0
12.8412,54.5408,99.5475,25,1,0
12.8731,54.7303,99.5443,25,1,0
12.9046,54.9217,99.5411,25,1,0
12.9357,55.1105,99.5379,25,1,0
12.967,55.2969,99.5347,25,1,0
12.9989,55.485,99.5315,25,1,0
13.0298,55.6759,99.5282,25,1,0
13.0613,55.8613,99.525,25,1,0
13.092,56.0508,99.5217,25,1,0
13.123,56.2346,99.5185,25,1,0
13.1547,56.4206,99.5153,25,1,0
13.1858,56.6107,99.5119,25,1,0
13.2183,56.7974,99.5087,25,1,0
13.249,56.9925,99.5052,25,1,0
13.28,57.1769,99.502,25,1,0
13.311,57.3629,99.4987,25,1,0
13.3431,57.5487,99.4954,25,1,0
13.3739,57.7414,99.492,25,1,0
13.4051,57.9265,99.4886,25,1,0
13.4363,58.1131,99.4853,25,1,0
13.4672,58.3007,99.4819,25,1,0
13.4977,58.4861,99.4786,25,1,0
13.5282,58.6691,99.4753,25,1,0
13.5598,58.8518,99.4719,25,1,0
13.5905,59.0413,99.4685,25,1,0
